Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
61,14,"Wahai orang-orang yang beriman, jadilah penolong-penolong (agama) Allah sebagaimana Isa putra Maryam berkata kepada pengikut-pengikutnya yang setia, “Siapakah para penolongku menuju kepada (pertolongan) Allah?” Para pengikutnya yang setia itu berkata, “Kamilah penolong-penolong (agama) Allah.” Maka, segolongan dari Bani Israil beriman dan segolongan (yang lain) kufur. Lalu, Kami menguatkan orang-orang yang beriman menghadapi musuh-musuh mereka sehingga menjadi orang-orang yang menang.",wahai iman jadi tolong tolong bagaimana isa putra maryam ikut ikut setia siapa tolong tuju ikut setia kami tolong tolong golong bani israil iman golong kufur kuat iman hadap musuh musuh sehingga menang,wahai beriman jadilah penolong penolong sebagaimana isa putra maryam pengikut pengikutnya setia siapakah penolongku menuju pengikutnya setia kamilah penolong penolong segolongan bani israil beriman segolongan kufur menguatkan beriman menghadapi musuh musuh sehingga menang,wahai orang orang yang beriman jadilah penolong penolong allah sebagaimana isa putra maryam berkata kepada pengikut pengikutnya yang setia siapakah para penolongku menuju kepada allah para pengikutnya yang setia itu berkata kamilah penolong penolong allah maka segolongan dari bani israil beriman dan segolongan kufur lalu kami menguatkan orang orang yang beriman menghadapi musuh musuh mereka sehingga menjadi orang orang yang menang
62,1,"Apa yang ada di langit dan apa yang ada di bumi senantiasa bertasbih kepada Allah Yang Maha Raja, Maha Suci, Maha Perkasa, lagi Maha Bijaksana.",ada langit ada bumi senantiasa tasbih maha raja maha suci maha perkasa maha bijaksana,ada langit ada bumi senantiasa bertasbih maha raja maha suci maha perkasa maha bijaksana,apa yang ada di langit dan apa yang ada di bumi senantiasa bertasbih kepada allah yang maha raja maha suci maha perkasa lagi maha bijaksana
62,2,"Dialah yang mengutus seorang Rasul (Nabi Muhammad) kepada kaum yang buta huruf dari (kalangan) mereka sendiri, yang membacakan kepada mereka ayat-ayat-Nya, menyucikan (jiwa) mereka, serta mengajarkan kepada mereka Kitab (Al-Qur’an) dan Hikmah (sunah), meskipun sebelumnya mereka benar-benar dalam kesesatan yang nyata.",dia utus orang rasul kaum buta huruf sendiri baca ayat ayat suci ajar kitab hikmah belum benar benar sesat nyata,dialah mengutus seorang rasul kaum buta huruf sendiri membacakan ayat ayat menyucikan mengajarkan kitab hikmah sebelumnya benar benar kesesatan nyata,dialah yang mengutus seorang rasul kepada kaum yang buta huruf dari mereka sendiri yang membacakan kepada mereka ayat ayat nya menyucikan mereka serta mengajarkan kepada mereka kitab dan hikmah meskipun sebelumnya mereka benar benar dalam kesesatan yang nyata
62,3,(Allah juga mengutus Nabi Muhammad) kepada (kaum) selain mereka yang belum (datang) menyusul mereka. Dialah Yang Maha Perkasa lagi Maha Bijaksana.,selain susul dia maha perkasa maha bijaksana,selain menyusul dialah maha perkasa maha bijaksana,kepada selain mereka yang belum menyusul mereka dialah yang maha perkasa lagi maha bijaksana
62,4,Itulah karunia Allah yang dianugerahkan kepada siapa yang Dia kehendaki. Allah memiliki karunia yang besar.,karunia anugerah siapa dia hendak karunia besar,karunia dianugerahkan siapa dia kehendaki karunia besar,itulah karunia allah yang dianugerahkan kepada siapa yang dia kehendaki allah memiliki karunia yang besar
62,5,"Perumpamaan orang-orang yang dibebani tugas mengamalkan Taurat, kemudian tidak mengamalkannya, adalah seperti keledai yang membawa kitab-kitab (tebal tanpa mengerti kandungannya). Sangat buruk perumpamaan kaum yang mendustakan ayat-ayat Allah. Allah tidak memberi petunjuk kepada kaum yang zalim.",umpama beban tugas amal taurat amal seperti keledai bawa kitab kitab buruk umpama kaum dusta ayat ayat beri tunjuk kaum zalim,perumpamaan dibebani tugas mengamalkan taurat mengamalkannya seperti keledai membawa kitab kitab buruk perumpamaan kaum mendustakan ayat ayat memberi petunjuk kaum zalim,perumpamaan orang orang yang dibebani tugas mengamalkan taurat kemudian tidak mengamalkannya adalah seperti keledai yang membawa kitab kitab sangat buruk perumpamaan kaum yang mendustakan ayat ayat allah allah tidak memberi petunjuk kepada kaum yang zalim
62,6,"Katakanlah (Nabi Muhammad), “Wahai orang-orang Yahudi, jika kamu mengira bahwa kamulah kekasih Allah (dan) bukan orang lain, harapkanlah kematianmu, jika kamu orang-orang benar.”",kata wahai yahudi ira kamu kasih harap mati benar,katakanlah wahai yahudi mengira kamulah kekasih harapkanlah kematianmu benar,katakanlah wahai orang orang yahudi jika kamu mengira bahwa kamulah kekasih allah bukan orang lain harapkanlah kematianmu jika kamu orang orang benar
62,7,Mereka tidak akan mengharapkan kematian itu selamanya disebabkan apa (keburukan) yang telah mereka perbuat dengan tangan mereka sendiri. Allah Maha Mengetahui orang-orang zalim.,harap mati lama sebab buat tangan sendiri maha tahu zalim,mengharapkan kematian selamanya disebabkan perbuat tangan sendiri maha mengetahui zalim,mereka tidak akan mengharapkan kematian itu selamanya disebabkan apa yang telah mereka perbuat dengan tangan mereka sendiri allah maha mengetahui orang orang zalim
62,8,"Katakanlah, “Sesungguhnya kematian yang kamu lari darinya pasti akan menemuimu. Kamu kemudian akan dikembalikan kepada Yang Maha Mengetahui yang gaib dan yang nyata, lalu Dia beritakan kepadamu apa yang selama ini kamu kerjakan.”",kata mati lari dari temu kembali maha tahu gaib nyata berita kepada kerja,katakanlah kematian lari darinya menemuimu dikembalikan maha mengetahui gaib nyata beritakan kepadamu kerjakan,katakanlah sesungguhnya kematian yang kamu lari darinya pasti akan menemuimu kamu kemudian akan dikembalikan kepada yang maha mengetahui yang gaib dan yang nyata lalu dia beritakan kepadamu apa yang selama ini kamu kerjakan
62,9,"Wahai orang-orang yang beriman, apabila (seruan)  untuk melaksanakan salat pada hari Jumat telah dikumandangkan, segeralah mengingat Allah dan tinggalkanlah jual beli. Yang demikian itu lebih baik bagimu jika kamu mengetahui.",wahai iman apabila laksana salat hari jumat kumandang segera ingat tinggal jual beli demikian baik bagi tahu,wahai beriman apabila melaksanakan salat hari jumat dikumandangkan segeralah mengingat tinggalkanlah jual beli demikian baik bagimu mengetahui,wahai orang orang yang beriman apabila untuk melaksanakan salat pada hari jumat telah dikumandangkan segeralah mengingat allah dan tinggalkanlah jual beli yang demikian itu lebih baik bagimu jika kamu mengetahui
62,10,"Apabila salat (Jumat) telah dilaksanakan, bertebaranlah kamu di bumi, carilah karunia Allah, dan ingatlah Allah sebanyak-banyaknya agar kamu beruntung.",apabila salat laksana tebar bumi cari karunia ingat banyak banyak untung,apabila salat dilaksanakan bertebaranlah bumi carilah karunia ingatlah sebanyak banyaknya beruntung,apabila salat telah dilaksanakan bertebaranlah kamu di bumi carilah karunia allah dan ingatlah allah sebanyak banyaknya agar kamu beruntung
62,11,"Apabila (sebagian) mereka melihat perdagangan atau permainan, mereka segera berpencar (menuju) padanya dan meninggalkan engkau (Nabi Muhammad) yang sedang berdiri (berkhotbah). Katakanlah, “Apa yang ada di sisi Allah lebih baik daripada permainan dan perdagangan.” Allah pemberi rezeki yang terbaik.",apabila lihat dagang main segera pencar pada tinggal sedang diri kata ada sisi baik main dagang beri rezeki baik,apabila melihat perdagangan permainan segera berpencar padanya meninggalkan sedang berdiri katakanlah ada sisi baik permainan perdagangan pemberi rezeki terbaik,apabila mereka melihat perdagangan atau permainan mereka segera berpencar padanya dan meninggalkan engkau yang sedang berdiri katakanlah apa yang ada di sisi allah lebih baik daripada permainan dan perdagangan allah pemberi rezeki yang terbaik
63,1,"Apabila orang-orang munafik datang kepadamu (Nabi Muhammad), mereka berkata, “Kami bersaksi bahwa engkau adalah benar-benar utusan Allah.” Allah mengetahui bahwa engkau benar-benar utusan-Nya. Allah pun bersaksi bahwa orang-orang munafik itu benar-benar para pendusta.",apabila munafik datang kepada saksi benar benar utus tahu benar benar utus saksi munafik benar benar dusta,apabila munafik datang kepadamu bersaksi benar benar utusan mengetahui benar benar utusan bersaksi munafik benar benar pendusta,apabila orang orang munafik datang kepadamu mereka berkata kami bersaksi bahwa engkau adalah benar benar utusan allah allah mengetahui bahwa engkau benar benar utusan nya allah pun bersaksi bahwa orang orang munafik itu benar benar para pendusta
63,2,Mereka menjadikan sumpah-sumpah mereka sebagai perisai) lalu mereka menghalang-halangi (orang lain) dari jalan Allah. Sesungguhnya apa yang selalu mereka kerjakan itu sangatlah buruk.,jadi sumpah sumpah perisai halang halang jalan selalu kerja sangat buruk,menjadikan sumpah sumpah perisai menghalang halangi jalan selalu kerjakan sangatlah buruk,mereka menjadikan sumpah sumpah mereka sebagai perisai lalu mereka menghalang halangi dari jalan allah sesungguhnya apa yang selalu mereka kerjakan itu sangatlah buruk
63,3,"Yang demikian itu karena sesungguhnya mereka telah beriman, kemudian kufur. Maka, hati mereka dikunci sehingga tidak dapat mengerti.",demikian iman kufur hati kunci erti,demikian beriman kufur hati dikunci mengerti,yang demikian itu karena sesungguhnya mereka telah beriman kemudian kufur maka hati mereka dikunci sehingga tidak dapat mengerti
63,4,"Apabila engkau melihat mereka, tubuhnya mengagumkanmu. Jika mereka bertutur kata, engkau mendengarkan tutur katanya (dengan saksama karena kefasihannya). Mereka bagaikan (seonggok) kayu yang tersandar.) Mereka mengira bahwa setiap teriakan (kutukan) ditujukan kepada mereka. Mereka itulah musuh (yang sebenarnya). Maka, waspadalah terhadap mereka. Semoga Allah membinasakan mereka. Bagaimanakah mereka dapat dipalingkan (dari kebenaran)?",apabila lihat tubuh kagum tutur kata dengar tutur kata bagai kayu sandar ira ria tuju itu musuh waspada moga binasa bagaimana dapat paling,apabila melihat tubuhnya mengagumkanmu bertutur kata mendengarkan tutur katanya bagaikan kayu tersandar mengira teriakan ditujukan itulah musuh waspadalah semoga membinasakan bagaimanakah dapat dipalingkan,apabila engkau melihat mereka tubuhnya mengagumkanmu jika mereka bertutur kata engkau mendengarkan tutur katanya mereka bagaikan kayu yang tersandar mereka mengira bahwa setiap teriakan ditujukan kepada mereka mereka itulah musuh maka waspadalah terhadap mereka semoga allah membinasakan mereka bagaimanakah mereka dapat dipalingkan
63,5,"Apabila dikatakan kepada mereka, “Marilah (beriman) agar Rasulullah memohonkan ampunan bagimu,” mereka membuang muka dan engkau melihat mereka menolak (ajakan itu) sambil menyombongkan diri.",apabila kata mari rasulullah mohon ampun bagi buang muka lihat tolak sombong diri,apabila dikatakan marilah rasulullah memohonkan ampunan bagimu membuang muka melihat menolak menyombongkan diri,apabila dikatakan kepada mereka marilah agar rasulullah memohonkan ampunan bagimu mereka membuang muka dan engkau melihat mereka menolak sambil menyombongkan diri
63,6,"Sama saja bagi mereka apakah engkau (Nabi Muhammad) memohonkan ampunan untuk mereka atau tidak, Allah tidak akan mengampuni mereka. Sesungguhnya Allah tidak akan memberi petunjuk kepada kaum fasik.",sama bagi apakah mohon ampun ampun beri tunjuk kaum fasik,sama bagi apakah memohonkan ampunan mengampuni memberi petunjuk kaum fasik,sama saja bagi mereka apakah engkau memohonkan ampunan untuk mereka atau tidak allah tidak akan mengampuni mereka sesungguhnya allah tidak akan memberi petunjuk kepada kaum fasik
63,7,"Merekalah orang-orang yang berkata (kepada kaum Ansar), “Janganlah bersedekah kepada orang-orang (Muhajirin) yang ada di sisi Rasulullah sampai mereka bubar (meninggalkan Rasulullah),” padahal milik Allahlah perbendaharaan langit dan bumi. Akan tetapi, orang-orang munafik itu tidak mengerti.",mereka jangan sedekah ada sisi rasulullah bubar padahal milik allah bendahara langit bumi munafik erti,merekalah janganlah bersedekah ada sisi rasulullah bubar padahal milik allahlah perbendaharaan langit bumi munafik mengerti,merekalah orang orang yang berkata janganlah bersedekah kepada orang orang yang ada di sisi rasulullah sampai mereka bubar padahal milik allahlah perbendaharaan langit dan bumi akan tetapi orang orang munafik itu tidak mengerti
63,8,"Mereka berkata, “Sungguh, jika kita kembali ke Madinah (dari perang Bani Mustaliq), pastilah orang yang kuat akan mengusir orang-orang yang lemah dari sana,” padahal kekuatan itu hanyalah milik Allah, Rasul-Nya, dan orang-orang mukmin. Akan tetapi, orang-orang munafik itu tidak mengetahui.",madinah pasti kuat usir lemah sana padahal kuat hanya milik rasul mukmin munafik tahu,madinah pastilah kuat mengusir lemah sana padahal kekuatan hanyalah milik rasul mukmin munafik mengetahui,mereka berkata sungguh jika kita kembali ke madinah pastilah orang yang kuat akan mengusir orang orang yang lemah dari sana padahal kekuatan itu hanyalah milik allah rasul nya dan orang orang mukmin akan tetapi orang orang munafik itu tidak mengetahui
63,9,"Wahai orang-orang yang beriman, janganlah harta bendamu dan anak-anakmu membuatmu lalai dari mengingat Allah. Siapa yang berbuat demikian, mereka itulah orang-orang yang merugi.",wahai iman jangan harta benda anak anak buat lalai ingat siapa buat rugi,wahai beriman janganlah harta bendamu anak anakmu membuatmu lalai mengingat siapa berbuat merugi,wahai orang orang yang beriman janganlah harta bendamu dan anak anakmu membuatmu lalai dari mengingat allah siapa yang berbuat demikian mereka itulah orang orang yang merugi
63,10,"Infakkanlah sebagian dari apa yang telah Kami anugerahkan kepadamu sebelum kematian datang kepada salah seorang di antaramu. Dia lalu berkata (sambil menyesal), “Ya Tuhanku, sekiranya Engkau berkenan menunda (kematian)-ku sedikit waktu lagi, aku akan dapat bersedekah dan aku akan termasuk orang-orang saleh.”",infak bagi anugerah kepada mati datang salah orang antara tuhan sekira kenan tunda sedikit waktu dapat sedekah masuk saleh,infakkanlah sebagian anugerahkan kepadamu kematian datang salah seorang antaramu tuhanku sekiranya berkenan menunda sedikit waktu dapat bersedekah termasuk saleh,infakkanlah sebagian dari apa yang telah kami anugerahkan kepadamu sebelum kematian datang kepada salah seorang di antaramu dia lalu berkata ya tuhanku sekiranya engkau berkenan menunda ku sedikit waktu lagi aku akan dapat bersedekah dan aku akan termasuk orang orang saleh
63,11,Allah tidak akan menunda (kematian) seseorang apabila waktu kematiannya telah datang. Allah Maha Teliti terhadap apa yang kamu kerjakan.,tunda orang apabila waktu mati datang maha teliti kerja,menunda seseorang apabila waktu kematiannya datang maha teliti kerjakan,allah tidak akan menunda seseorang apabila waktu kematiannya telah datang allah maha teliti terhadap apa yang kamu kerjakan
64,1,"Apa yang ada di langit dan apa yang ada di bumi senantiasa bertasbih kepada Allah. Milik-Nyalah segala kerajaan dan segala pujian, dan Dia Maha Kuasa atas segala sesuatu.",ada langit ada bumi senantiasa tasbih milik nyalah segala raja segala puji dia maha kuasa atas segala,ada langit ada bumi senantiasa bertasbih milik nyalah segala kerajaan segala pujian dia maha kuasa atas segala,apa yang ada di langit dan apa yang ada di bumi senantiasa bertasbih kepada allah milik nyalah segala kerajaan dan segala pujian dan dia maha kuasa atas segala sesuatu
64,2,"Dialah yang menciptakan kamu, lalu di antara kamu ada yang kafir dan ada yang mukmin. Allah Maha Melihat apa yang kamu kerjakan.",dia cipta antara kafir ada mukmin maha lihat kerja,dialah menciptakan antara kafir ada mukmin maha melihat kerjakan,dialah yang menciptakan kamu lalu di antara kamu ada yang kafir dan ada yang mukmin allah maha melihat apa yang kamu kerjakan
64,3,"Dia menciptakan langit dan bumi dengan benar, Dia membentuk kamu lalu memperindah bentukmu, dan kepada-Nyalah kembali(-mu).",cipta langit bumi benar bentuk indah bentuk nyalah,menciptakan langit bumi benar membentuk memperindah bentukmu nyalah,dia menciptakan langit dan bumi dengan benar dia membentuk kamu lalu memperindah bentukmu dan kepada nyalah kembali
